url,articleTitle,socialMediaCount
https://www.huffingtonpost.com/entry/michael-moore-donald-trump-gm-chris-hayes_us_5bfe4dd9e4b030172fa8535a,Michael Moore Rips Donald Trump: He 'Doesn't Understand' How General Motors Played Him,3500
https://www.huffingtonpost.com/entry/james-comey-hillary-clinton-emails_us_5c0b0910e4b035a7bf5b3b2c,"Comey Rips Panels For Grilling Him On 'Whole Lotta' Clinton Emails, 'For Heaven's Sakes'",3500
https://www.huffingtonpost.com/entry/kamala-harris-2020-president_us_5c042a8ce4b0606a15b66958,Kamala Harris To Decide On 2020 White House Run 'Over The Holiday',3300
https://www.huffingtonpost.com/entry/kamala-harris-2020-president_us_5c042a8ce4b0606a15b66958,Kamala Harris To Decide On 2020 White House Run 'Over The Holiday',3300
https://www.huffingtonpost.com/entry/arnold-schwarzenegger-trump-poland-climate-summit_us_5c05c885e4b0cd916faf034b,Arnold Schwarzenegger Goes After Trump On Climate: America Is More Than One 'Meshugge',3100
https://www.huffingtonpost.com/entry/wisconsin-michigan-north-carolina-lame-duc_us_5c0b4c42e4b0ab8cf693737b,Republicans Around The Country Are Working To Declare Democrats Unconstitutional,2900
https://www.huffingtonpost.com/entry/toledo-ohio-terror-attacks-suspects_us_5c0eb60de4b0edf5a3a7953b,FBI Announces Arrests Of 2 People Allegedly Plotting Separate Terror Attacks In Ohio,2900
https://www.huffingtonpost.com/entry/north-carolina-election-investigation_us_5c0aff86e4b0a606a9a8bb49,More Evidence Of Illegal Activity Emerges In North Carolina Congressional Race,2800
https://www.huffingtonpost.com/entry/florida-cop-qanon-mike-pence_us_5c05c223e4b0cd916faf01b7,Florida SWAT Officer Demoted After Wearing QAnon Patch In Photo With Mike Pence,2800
https://www.huffingtonpost.com/entry/trump-intelligence-climate-change-twitter_us_5bfe0d6be4b0d23c2137a693,Trump's 'Very High Levels Of Intelligence' Draw Some Doubt On Twitter,2600
https://www.huffingtonpost.com/entry/alexandria-ocasio-cortez-burns-fox-news-on-twitter-for-being-obsessed-with-her_us_5bf9b19ce4b0eb6d930eff80,Alexandria Ocasio-Cortez Burns Fox News On Twitter For Being 'Obsessed' With Her,2500
https://www.huffingtonpost.com/entry/alexandria-ocasio-cortez-burns-fox-news-on-twitter-for-being-obsessed-with-her_us_5bf9b19ce4b0eb6d930eff80,Alexandria Ocasio-Cortez Burns Fox News On Twitter For Being 'Obsessed' With Her,2500
https://www.huffingtonpost.com/entry/don-lemon-donald-trump-saudi-russia-putin-g20_us_5c023ee3e4b0606a15b57255,"Don Lemon Gives Blistering Review Of Donald Trump's G20 Performance: 'Weak, Weak, Weak'",2300
https://www.huffingtonpost.com/entry/wisconsin-republicans-advance-lame-duck-power-grab_us_5c05a479e4b07aec57519c2b,Wisconsin Republicans Advance Lame-Duck Power Grab,2200
https://www.huffingtonpost.com/entry/michigan-gop-minimum-wage-hike-paid-sick-leave_us_5c07f80be4b0844cda4f32b1,How The Michigan GOP Gutted A Minimum Wage Hike And Paid Sick Leave,2100
https://www.huffingtonpost.com/entry/michelle-obama-donald-trump-stephen-colbert-morals_us_5c023179e4b04fb211682fc1,Michelle Obama Shades Donald Trump While Talking About White House Morals,2100
https://www.huffingtonpost.com/entry/seth-meyers-mike-pence-lies-warning_us_5c08caefe4b0844cda4fd9c3,Seth Meyers Issues Scathing Warning About Mike Pence: 'As Slippery Of A Liar' As Trump,2100
https://www.huffingtonpost.com/entry/texas-voter-fraud-prison_us_5c01a9afe4b0a173c02305c1,This Woman Got 8 Years In Prison For Illegal Voting. Texas Is Showing No Mercy.,2000
https://www.huffingtonpost.com/entry/alexandria-ocasio-cortez-unpaid-interns_us_5c06d405e4b07aec57539e59,Alexandria Ocasio-Cortez Demands 'Living Wage' For Hill Workers,2000
https://www.huffingtonpost.com/entry/maria-butina-guilty-plea-conspiracy_us_5c0efd9ee4b06484c9fdbc0e,Accused Russian Agent Maria Butina Reaches Plea Deal With Federal Prosecutors: Reports,2000
https://www.huffingtonpost.com/entry/texas-voter-fraud-prison_us_5c01a9afe4b0a173c02305c1,This Woman Got 8 Years In Prison For Illegal Voting. Texas Is Showing No Mercy.,2000
https://www.huffingtonpost.com/entry/ivanka-trump-emails-book-comments_us_5bf66474e4b0771fb6b5eb97,Ivanka Trump's 2009 Book Warning On Dangers Of Email Comes Back To Haunt Her,2000
https://www.huffingtonpost.com/entry/paul-manafort-lawyer-trump_us_5bfdf5f8e4b0f43bf2661440,Paul Manafort’s Lawyer Told Trump Team What His Client Said To Mueller: Report,1900
